Domain,Category,Status,Discovery_Date
test.35d.jo,other,active,2026-03-11T01:20:04.849637
images.naitel.jo,other,active,2026-03-11T01:20:04.849637
blog.naitel.jo,other,active,2026-03-11T01:20:04.849637
shop.naitel.jo,other,active,2026-03-11T01:20:04.849637
analytics.naitel.jo,other,active,2026-03-11T01:20:04.849637
support.35d.jo,other,active,2026-03-11T01:20:04.849637
www.queenrania.jo,other,active,2026-03-11T01:20:04.849637
mail.es.jo,other,active,2026-03-11T01:20:04.849637
www.act.com.jo,com,active,2026-03-11T01:20:04.849637
albatros.jo,other,active,2026-03-11T01:20:04.849637
admin.35d.jo,other,active,2026-03-11T01:20:04.849637
mail.al-attar.jo,other,active,2026-03-11T01:20:04.849637
alfa.jo,other,active,2026-03-11T01:20:04.849637
jordan.gov.jo,gov,active,2026-03-11T01:20:04.849637
webmail.35d.jo,other,active,2026-03-11T01:20:04.849637
files.naitel.jo,other,active,2026-03-11T01:20:04.849637
status.naitel.jo,other,active,2026-03-11T01:20:04.849637
members.35d.jo,other,active,2026-03-11T01:20:04.849637
webmail.al-attar.jo,other,active,2026-03-11T01:20:04.849637
support.es.jo,other,active,2026-03-11T01:20:04.849637
triangle.jo,other,active,2026-03-11T01:20:04.849637
www.alhusseinvolunteeraward.jo,other,active,2026-03-11T01:20:04.849637
adventure.jo,other,active,2026-03-11T01:20:04.849637
www.ipark.jo,other,active,2026-03-11T01:20:04.849637
shop.35d.jo,other,active,2026-03-11T01:20:04.849637
www.qra.jo,other,active,2026-03-11T01:20:04.849637
www.adventure.jo,other,active,2026-03-11T01:20:04.849637
ajyc.jo,other,active,2026-03-11T01:20:04.849637
www.action.jo,other,active,2026-03-11T01:20:04.849637
cpanel.24online.jo,other,active,2026-03-11T01:20:04.849637
admin.action.jo,other,active,2026-03-11T01:20:04.849637
staging.35d.jo,other,active,2026-03-11T01:20:04.849637
docs.naitel.jo,other,active,2026-03-11T01:20:04.849637
es.jo,other,active,2026-03-11T01:20:04.849637
forum.naitel.jo,other,active,2026-03-11T01:20:04.849637
app.35d.jo,other,active,2026-03-11T01:20:04.849637
www.abdali-boulevard.jo,other,active,2026-03-11T01:20:04.849637
www.abdin.jo,other,active,2026-03-11T01:20:04.849637
mail.35d.jo,other,active,2026-03-11T01:20:04.849637
webmail.es.jo,other,active,2026-03-11T01:20:04.849637
adh.jo,other,active,2026-03-11T01:20:04.849637
www.jordannews.jo,other,active,2026-03-11T01:20:04.849637
www.abujaberco.jo,other,active,2026-03-11T01:20:04.849637
images.35d.jo,other,active,2026-03-11T01:20:04.849637
qra.jo,other,active,2026-03-11T01:20:04.849637
alghad.jo,other,active,2026-03-11T01:20:04.849637
rhc.jo,other,active,2026-03-11T01:20:04.849637
alamanfund.jo,other,active,2026-03-11T01:20:04.849637
secure.naitel.jo,other,active,2026-03-11T01:20:04.849637
www.ajc.jo,other,active,2026-03-11T01:20:04.849637
alhussein.jo,other,active,2026-03-11T01:20:04.849637
www.kafd.jo,other,active,2026-03-11T01:20:04.849637
aicj.jo,other,active,2026-03-11T01:20:04.849637
invest.jo,other,active,2026-03-11T01:20:04.849637
download.35d.jo,other,active,2026-03-11T01:20:04.849637
dev.naitel.jo,other,active,2026-03-11T01:20:04.849637
test.es.jo,other,active,2026-03-11T01:20:04.849637
www.rhc.jo,other,active,2026-03-11T01:20:04.849637
akeed.jo,other,active,2026-03-11T01:20:04.849637
abdali-boulevard.jo,other,active,2026-03-11T01:20:04.849637
cpanel.naitel.jo,other,active,2026-03-11T01:20:04.849637
www.akm.jo,other,active,2026-03-11T01:20:04.849637
api.action.jo,other,active,2026-03-11T01:20:04.849637
test.alamanfund.jo,other,active,2026-03-11T01:20:04.849637
booking.aiff.jo,other,active,2026-03-11T01:20:04.849637
cpanel.abdin.jo,other,active,2026-03-11T01:20:04.849637
cpanel.es.jo,other,active,2026-03-11T01:20:04.849637
www.adc.jo,other,active,2026-03-11T01:20:04.849637
www.100.jo,other,active,2026-03-11T01:20:04.849637
mail.aiff.jo,other,active,2026-03-11T01:20:04.849637
www.aicj.jo,other,active,2026-03-11T01:20:04.849637
portal.naitel.jo,other,active,2026-03-11T01:20:04.849637
www.alessami.jo,other,active,2026-03-11T01:20:04.849637
alfarah.jo,other,active,2026-03-11T01:20:04.849637
test.naitel.jo,other,active,2026-03-11T01:20:04.849637
dashboard.35d.jo,other,active,2026-03-11T01:20:04.849637
ajc.jo,other,active,2026-03-11T01:20:04.849637
www.jordan.gov.jo,gov,active,2026-03-11T01:20:04.849637
www.alghad.jo,other,active,2026-03-11T01:20:04.849637
store.35d.jo,other,active,2026-03-11T01:20:04.849637
upload.35d.jo,other,active,2026-03-11T01:20:04.849637
accreditation.aiff.jo,other,active,2026-03-11T01:20:04.849637
afia.jo,other,active,2026-03-11T01:20:04.849637
action.jo,other,active,2026-03-11T01:20:04.849637
secure.35d.jo,other,active,2026-03-11T01:20:04.849637
www.alhussein.jo,other,active,2026-03-11T01:20:04.849637
upload.naitel.jo,other,active,2026-03-11T01:20:04.849637
www.alfa.jo,other,active,2026-03-11T01:20:04.849637
members.naitel.jo,other,active,2026-03-11T01:20:04.849637
www.35d.jo,other,active,2026-03-11T01:20:04.849637
static.naitel.jo,other,active,2026-03-11T01:20:04.849637
www.al-attar.jo,other,active,2026-03-11T01:20:04.849637
account.naitel.jo,other,active,2026-03-11T01:20:04.849637
www.jordanriver.jo,other,active,2026-03-11T01:20:04.849637
account.35d.jo,other,active,2026-03-11T01:20:04.849637
files.35d.jo,other,active,2026-03-11T01:20:04.849637
cdn.rhc.jo,other,active,2026-03-11T01:20:04.849637
staging.action.jo,other,active,2026-03-11T01:20:04.849637
blog.action.jo,other,active,2026-03-11T01:20:04.849637
24online.jo,other,active,2026-03-11T01:20:04.849637
webmail.aiff.jo,other,active,2026-03-11T01:20:04.849637
cpanel.aiff.jo,other,active,2026-03-11T01:20:04.849637
www.albatros.jo,other,active,2026-03-11T01:20:04.849637
help.naitel.jo,other,active,2026-03-11T01:20:04.849637
www.futrend.com.jo,com,active,2026-03-11T01:20:04.849637
abdin.jo,other,active,2026-03-11T01:20:04.849637
tracking.aiff.jo,other,active,2026-03-11T01:20:04.849637
www.tawasal.gov.jo,gov,active,2026-03-11T01:20:04.849637
portal.albatros.jo,other,active,2026-03-11T01:20:04.849637
www.tua.jo,other,active,2026-03-11T01:20:04.849637
www.alfarah.jo,other,active,2026-03-11T01:20:04.849637
www.triangle.jo,other,active,2026-03-11T01:20:04.849637
app.naitel.jo,other,active,2026-03-11T01:20:04.849637
portal.jordan.gov.jo,gov,active,2026-03-11T01:20:04.849637
www.naitel.jo,other,active,2026-03-11T01:20:04.849637
dev.35d.jo,other,active,2026-03-11T01:20:04.849637
dashboard.naitel.jo,other,active,2026-03-11T01:20:04.849637
status.35d.jo,other,active,2026-03-11T01:20:04.849637
submissions.aiff.jo,other,active,2026-03-11T01:20:04.849637
login.35d.jo,other,active,2026-03-11T01:20:04.849637
static.35d.jo,other,active,2026-03-11T01:20:04.849637
mail.24online.jo,other,active,2026-03-11T01:20:04.849637
cdn.35d.jo,other,active,2026-03-11T01:20:04.849637
webmail.naitel.jo,other,active,2026-03-11T01:20:04.849637
www.24online.jo,other,active,2026-03-11T01:20:04.849637
www.aut.edu.jo,edu,active,2026-03-11T01:20:04.849637
100.jo,other,active,2026-03-11T01:20:04.849637
www.es.jo,other,active,2026-03-11T01:20:04.849637
analytics.35d.jo,other,active,2026-03-11T01:20:04.849637
naitel.jo,other,active,2026-03-11T01:20:04.849637
www.alamanfund.jo,other,active,2026-03-11T01:20:04.849637
admin.naitel.jo,other,active,2026-03-11T01:20:04.849637
www.ahliclub.jo,other,active,2026-03-11T01:20:04.849637
help.35d.jo,other,active,2026-03-11T01:20:04.849637
blog.35d.jo,other,active,2026-03-11T01:20:04.849637
forum.35d.jo,other,active,2026-03-11T01:20:04.849637
aliftaa.jo,other,active,2026-03-11T01:20:04.849637
cdn.naitel.jo,other,active,2026-03-11T01:20:04.849637
alhusseinvolunteeraward.jo,other,active,2026-03-11T01:20:04.849637
www.ajyc.jo,other,active,2026-03-11T01:20:04.849637
cpanel.35d.jo,other,active,2026-03-11T01:20:04.849637
dev.es.jo,other,active,2026-03-11T01:20:04.849637
tracking.naitel.jo,other,active,2026-03-11T01:20:04.849637
www.aliftaa.jo,other,active,2026-03-11T01:20:04.849637
admin.afia.jo,other,active,2026-03-11T01:20:04.849637
mail.afia.jo,other,active,2026-03-11T01:20:04.849637
media.naitel.jo,other,active,2026-03-11T01:20:04.849637
staging.naitel.jo,other,active,2026-03-11T01:20:04.849637
api.naitel.jo,other,active,2026-03-11T01:20:04.849637
35d.jo,other,active,2026-03-11T01:20:04.849637
www.aiff.jo,other,active,2026-03-11T01:20:04.849637
portal.35d.jo,other,active,2026-03-11T01:20:04.849637
alessami.jo,other,active,2026-03-11T01:20:04.849637
docs.35d.jo,other,active,2026-03-11T01:20:04.849637
media.action.jo,other,active,2026-03-11T01:20:04.849637
mail.abdin.jo,other,active,2026-03-11T01:20:04.849637
www.ayla.com.jo,com,active,2026-03-11T01:20:04.849637
www.aqabais.edu.jo,edu,active,2026-03-11T01:20:04.849637
www.adh.jo,other,active,2026-03-11T01:20:04.849637
al-attar.jo,other,active,2026-03-11T01:20:04.849637
tracking.35d.jo,other,active,2026-03-11T01:20:04.851128
store.naitel.jo,other,active,2026-03-11T01:20:04.851128
webmail.abdin.jo,other,active,2026-03-11T01:20:04.851128
media.35d.jo,other,active,2026-03-11T01:20:04.851128
download.naitel.jo,other,active,2026-03-11T01:20:04.851128
www.afia.jo,other,active,2026-03-11T01:20:04.851128
www.akeed.jo,other,active,2026-03-11T01:20:04.851128
mail.aliftaa.jo,other,active,2026-03-11T01:20:04.851128
aiff.jo,other,active,2026-03-11T01:20:04.851128
login.naitel.jo,other,active,2026-03-11T01:20:04.851128
mail.rhc.jo,other,active,2026-03-11T01:20:04.851128
